Year,Code,Area,Renewable,Non Renewable,Renewable
2000,AUT,Austria,87,39,87
2000,BEL,Belgium,2,128,2
2000,BGR,Bulgaria,5,75,5
2000,HRV,Croatia,13,11,13
2000,CYP,Cyprus,,7,
2000,CZE,Czech Republic,5,180,5
2000,DNK,Denmark,15,78,15
2000,EST,Estonia,,17,
2000,FIN,Finland,47,79,47
2000,FRA,France,139,543,139
2000,DEU,Germany,85,1190,85
2000,GRC,Greece,8,133,8
2000,HUN,Hungary,,65,
2000,IRL,Ireland,2,52,2
2000,ITA,Italy,102,463,102
2000,LVA,Latvia,6,2,6
2000,LTU,Lithuania,,13,
2000,MLT,Malta,,4,
2000,NLD,Netherlands,7,193,7
2000,POL,Poland,4,418,4
2000,PRT,Portugal,25,76,25
2000,ROU,Romania,30,87,30
2000,SVK,Slovakia,9,41,9
2000,SVN,Slovenia,8,19,8
2000,ESP,Spain,74,390,74
2000,SWE,Sweden,166,68,166
2000,GBR,United Kingdom,21,764,21
2001,AUT,Austria,84,45,84
2001,BEL,Belgium,2,119,2
2001,BGR,Bulgaria,3,84,3
2001,HRV,Croatia,14,13,14
2001,CYP,Cyprus,,7,
2001,CZE,Czech Republic,5,181,5
2001,DNK,Denmark,16,82,16
2001,EST,Estonia,,17,
2001,FIN,Finland,43,93,43
2001,FRA,France,155,534,155
2001,DEU,Germany,89,1208,89
2001,GRC,Greece,7,136,7
2001,HUN,Hungary,,67,
2001,IRL,Ireland,2,54,2
2001,ITA,Italy,110,465,110
2001,LVA,Latvia,6,3,6
2001,LTU,Lithuania,,17,
2001,LUX,Luxembourg,,1,
2001,MLT,Malta,,4,
2001,NLD,Netherlands,7,202,7
2001,POL,Poland,5,417,5
2001,PRT,Portugal,31,74,31
2001,ROU,Romania,30,91,30
2001,SVK,Slovakia,10,42,10
2001,SVN,Slovenia,8,20,8
2001,ESP,Spain,105,374,105
2001,SWE,Sweden,166,86,166
2001,GBR,United Kingdom,20,787,20
2002,AUT,Austria,84,44,84
2002,BEL,Belgium,2,122,2
2002,BGR,Bulgaria,4,77,4
2002,HRV,Croatia,12,16,12
2002,CYP,Cyprus,,8,
2002,CZE,Czech Republic,6,177,6
2002,DNK,Denmark,18,83,18
2002,EST,Estonia,,17,
2002,FIN,Finland,40,100,40
2002,FRA,France,128,566,128
2002,DEU,Germany,108,1199,108
2002,GRC,Greece,8,135,8
2002,HUN,Hungary,,67,
2002,IRL,Ireland,2,54,2
2002,ITA,Italy,98,492,98
2002,LVA,Latvia,5,3,5
2002,LTU,Lithuania,,19,
2002,LUX,Luxembourg,,5,
2002,MLT,Malta,,4,
2002,NLD,Netherlands,9,206,9
2002,POL,Poland,5,412,5
2002,PRT,Portugal,19,87,19
2002,ROU,Romania,32,91,32
2002,SVK,Slovakia,11,41,11
2002,SVN,Slovenia,7,21,7
2002,ESP,Spain,76,432,76
2002,SWE,Sweden,143,85,143
2002,GBR,United Kingdom,24,783,24
2003,AUT,Austria,70,54,70
2003,BEL,Belgium,2,127,2
2003,BGR,Bulgaria,6,81,6
2003,HRV,Croatia,11,18,11
2003,CYP,Cyprus,,8,
2003,CZE,Czech Republic,3,187,3
2003,DNK,Denmark,22,101,22
2003,EST,Estonia,,20,
2003,FIN,Finland,38,127,38
2003,FRA,France,125,582,125
2003,DEU,Germany,111,1256,111
2003,GRC,Greece,13,139,13
2003,HUN,Hungary,,65,
2003,IRL,Ireland,2,54,2
2003,ITA,Italy,95,516,95
2003,LVA,Latvia,5,3,5
2003,LTU,Lithuania,,21,
2003,LUX,Luxembourg,,5,
2003,MLT,Malta,,4,
2003,NLD,Netherlands,9,208,9
2003,POL,Poland,4,436,4
2003,PRT,Portugal,35,72,35
2003,ROU,Romania,27,102,27
2003,SVK,Slovakia,7,43,7
2003,SVN,Slovenia,6,21,6
2003,ESP,Spain,124,416,124
2003,SWE,Sweden,118,89,118
2003,GBR,United Kingdom,23,819,23
2004,AUT,Austria,80,53,80
2004,BEL,Belgium,3,128,3
2004,BGR,Bulgaria,6,79,6
2004,HRV,Croatia,15,15,15
2004,CYP,Cyprus,,8,
2004,CZE,Czech Republic,5,186,5
2004,DNK,Denmark,26,80,26
2004,EST,Estonia,,20,
2004,FIN,Finland,51,114,51
2004,FRA,France,128,586,128
2004,DEU,Germany,142,1241,142
2004,GRC,Greece,13,141,13
2004,HUN,Hungary,2,61,2
2004,IRL,Ireland,3,54,3
2004,ITA,Italy,110,527,110
2004,LVA,Latvia,6,3,6
2004,LTU,Lithuania,,21,
2004,LUX,Luxembourg,,6,
2004,MLT,Malta,,4,
2004,NLD,Netherlands,12,213,12
2004,POL,Poland,6,439,6
2004,PRT,Portugal,25,80,25
2004,ROU,Romania,33,96,33
2004,SVK,Slovakia,8,41,8
2004,SVN,Slovenia,8,21,8
2004,ESP,Spain,116,463,116
2004,SWE,Sweden,137,91,137
2004,GBR,United Kingdom,30,806,30
2005,AUT,Austria,83,54,83
2005,BEL,Belgium,4,127,4
2005,BGR,Bulgaria,9,79,9
2005,HRV,Croatia,14,14,14
2005,CYP,Cyprus,,9,
2005,CZE,Czech Republic,6,182,6
2005,DNK,Denmark,26,68,26
2005,EST,Estonia,,20,
2005,FIN,Finland,47,77,47
2005,FRA,France,113,606,113
2005,DEU,Germany,156,1231,156
2005,GRC,Greece,14,142,14
2005,HUN,Hungary,4,61,4
2005,IRL,Ireland,5,54,5
2005,ITA,Italy,99,538,99
2005,LVA,Latvia,7,3,7
2005,LTU,Lithuania,,17,
2005,LUX,Luxembourg,,6,
2005,MLT,Malta,,4,
2005,NLD,Netherlands,17,204,17
2005,POL,Poland,8,444,8
2005,PRT,Portugal,18,91,18
2005,ROU,Romania,40,94,40
2005,SVK,Slovakia,9,41,9
2005,SVN,Slovenia,7,22,7
2005,ESP,Spain,106,506,106
2005,SWE,Sweden,163,83,163
2005,GBR,United Kingdom,37,810,37
2006,AUT,Austria,83,50,83
2006,BEL,Belgium,5,122,5
2006,BGR,Bulgaria,8,82,8
2006,HRV,Croatia,13,15,13
2006,CYP,Cyprus,,9,
2006,CZE,Czech Republic,7,184,7
2006,DNK,Denmark,24,97,24
2006,EST,Estonia,,19,
2006,FIN,Finland,45,113,45
2006,FRA,France,126,587,126
2006,DEU,Germany,179,1244,179
2006,GRC,Greece,17,137,17
2006,HUN,Hungary,3,62,3
2006,IRL,Ireland,6,55,6
2006,ITA,Italy,104,556,104
2006,LVA,Latvia,5,4,5
2006,LTU,Lithuania,,14,
2006,LUX,Luxembourg,,7,
2006,MLT,Malta,,5,
2006,NLD,Netherlands,19,202,19
2006,POL,Poland,8,459,8
2006,PRT,Portugal,34,81,34
2006,ROU,Romania,37,108,37
2006,SVK,Slovakia,9,40,9
2006,SVN,Slovenia,7,22,7
2006,ESP,Spain,128,493,128
2006,SWE,Sweden,143,78,143
2006,GBR,United Kingdom,40,824,40
2007,AUT,Austria,88,46,88
2007,BEL,Belgium,6,126,6
2007,BGR,Bulgaria,6,88,6
2007,HRV,Croatia,9,18,9
2007,CYP,Cyprus,,10,
2007,CZE,Czech Republic,7,196,7
2007,DNK,Denmark,28,78,28
2007,EST,Estonia,,24,
2007,FIN,Finland,48,104,48
2007,FRA,France,135,581,135
2007,DEU,Germany,222,1247,222
2007,GRC,Greece,11,151,11
2007,HUN,Hungary,3,69,3
2007,IRL,Ireland,7,56,7
2007,ITA,Italy,99,563,99
2007,LVA,Latvia,6,4,6
2007,LTU,Lithuania,1,15,1
2007,LUX,Luxembourg,,6,
2007,MLT,Malta,,5,
2007,NLD,Netherlands,18,216,18
2007,POL,Poland,11,450,11
2007,PRT,Portugal,36,74,36
2007,ROU,Romania,32,109,32
2007,SVK,Slovakia,9,35,9
2007,SVN,Slovenia,7,23,7
2007,ESP,Spain,145,504,145
2007,SWE,Sweden,156,76,156
2007,GBR,United Kingdom,45,819,45
2008,AUT,Austria,91,45,91
2008,BEL,Belgium,9,118,9
2008,BGR,Bulgaria,6,90,6
2008,HRV,Croatia,12,16,12
2008,CYP,Cyprus,,10,
2008,CZE,Czech Republic,7,181,7
2008,DNK,Denmark,27,71,27
2008,EST,Estonia,,20,
2008,FIN,Finland,55,84,55
2008,FRA,France,153,574,153
2008,DEU,Germany,234,1209,234
2008,GRC,Greece,14,148,14
2008,HUN,Hungary,4,68,4
2008,IRL,Ireland,9,58,9
2008,ITA,Italy,121,552,121
2008,LVA,Latvia,6,4,6
2008,LTU,Lithuania,1,15,1
2008,LUX,Luxembourg,,5,
2008,MLT,Malta,,5,
2008,NLD,Netherlands,23,215,23
2008,POL,Poland,14,435,14
2008,PRT,Portugal,35,73,35
2008,ROU,Romania,34,110,34
2008,SVK,Slovakia,9,36,9
2008,SVN,Slovenia,8,23,8
2008,ESP,Spain,160,487,160
2008,SWE,Sweden,165,74,165
2008,GBR,United Kingdom,51,798,51
2009,AUT,Austria,96,42,96
2009,BEL,Belgium,12,127,12
2009,BGR,Bulgaria,7,83,7
2009,HRV,Croatia,15,13,15
2009,CYP,Cyprus,,10,
2009,CZE,Czech Republic,9,173,9
2009,DNK,Denmark,27,70,27
2009,EST,Estonia,1,16,1
2009,FIN,Finland,43,88,43
2009,FRA,France,147,534,147
2009,DEU,Germany,238,1109,238
2009,GRC,Greece,19,140,19
2009,HUN,Hungary,5,57,5
2009,IRL,Ireland,11,52,11
2009,ITA,Italy,146,476,146
2009,LVA,Latvia,7,4,7
2009,LTU,Lithuania,1,17,1
2009,LUX,Luxembourg,,6,
2009,MLT,Malta,,4,
2009,NLD,Netherlands,26,225,26
2009,POL,Poland,18,418,18
2009,PRT,Portugal,44,75,44
2009,ROU,Romania,31,94,31
2009,SVK,Slovakia,10,32,10
2009,SVN,Slovenia,10,22,10
2009,ESP,Spain,192,418,192
2009,SWE,Sweden,162,62,162
2009,GBR,United Kingdom,60,730,60
2010,AUT,Austria,92,51,92
2010,BEL,Belgium,15,130,15
2010,BGR,Bulgaria,12,87,12
2010,HRV,Croatia,18,13,18
2010,CYP,Cyprus,,10,
2010,CZE,Czech Republic,12,178,12
2010,DNK,Denmark,33,70,33
2010,EST,Estonia,2,24,2
2010,FIN,Finland,48,104,48
2010,FRA,France,166,567,166
2010,DEU,Germany,261,1166,261
2010,GRC,Greece,24,124,24
2010,HUN,Hungary,6,59,6
2010,IRL,Ireland,10,52,10
2010,ITA,Italy,165,482,165
2010,LVA,Latvia,7,6,7
2010,LTU,Lithuania,1,8,1
2010,LUX,Luxembourg,,6,
2010,MLT,Malta,,4,
2010,NLD,Netherlands,26,234,26
2010,POL,Poland,23,429,23
2010,PRT,Portugal,66,58,66
2010,ROU,Romania,40,90,40
2010,SVK,Slovakia,12,32,12
2010,SVN,Slovenia,9,22,9
2010,ESP,Spain,247,364,247
2010,SWE,Sweden,168,76,168
2010,GBR,United Kingdom,63,751,63
2011,AUT,Austria,84,48,84
2011,BEL,Belgium,20,116,20
2011,BGR,Bulgaria,9,103,9
2011,HRV,Croatia,10,14,10
2011,CYP,Cyprus,,10,
2011,CZE,Czech Republic,17,177,17
2011,DNK,Denmark,38,56,38
2011,EST,Estonia,2,23,2
2011,FIN,Finland,48,85,48
2011,FRA,France,147,579,147
2011,DEU,Germany,318,1121,318
2011,GRC,Greece,20,133,20
2011,HUN,Hungary,6,57,6
2011,IRL,Ireland,15,47,15
2011,ITA,Italy,187,478,187
2011,LVA,Latvia,6,6,6
2011,LTU,Lithuania,1,6,1
2011,LUX,Luxembourg,,5,
2011,MLT,Malta,,4,
2011,NLD,Netherlands,30,220,30
2011,POL,Poland,29,440,29
2011,PRT,Portugal,57,65,57
2011,ROU,Romania,34,104,34
2011,SVK,Slovakia,10,35,10
2011,SVN,Slovenia,7,22,7
2011,ESP,Spain,227,394,227
2011,SWE,Sweden,174,73,174
2011,GBR,United Kingdom,86,699,86
2012,AUT,Austria,105,39,105
2012,BEL,Belgium,25,105,25
2012,BGR,Bulgaria,13,89,13
2012,HRV,Croatia,10,13,10
2012,CYP,Cyprus,,9,
2012,CZE,Czech Republic,18,171,18
2012,DNK,Denmark,40,42,40
2012,EST,Estonia,2,21,2
2012,FIN,Finland,57,67,57
2012,FRA,France,190,560,190
2012,DEU,Germany,364,1138,364
2012,GRC,Greece,26,132,26
2012,HUN,Hungary,6,54,6
2012,IRL,Ireland,14,49,14
2012,ITA,Italy,217,458,217
2012,LVA,Latvia,8,4,8
2012,LTU,Lithuania,2,6,2
2012,LUX,Luxembourg,,5,
2012,MLT,Malta,,5,
2012,NLD,Netherlands,30,202,30
2012,POL,Poland,39,424,39
2012,PRT,Portugal,49,65,49
2012,ROU,Romania,32,99,32
2012,SVK,Slovakia,11,33,11
2012,SVN,Slovenia,8,22,8
2012,ESP,Spain,235,407,235
2012,SWE,Sweden,204,72,204
2012,GBR,United Kingdom,104,712,104
2013,AUT,Austria,105,32,105
2013,BEL,Belgium,29,100,29
2013,BGR,Bulgaria,16,77,16
2013,HRV,Croatia,19,12,19
2013,CYP,Cyprus,,8,
2013,CZE,Czech Republic,21,164,21
2013,DNK,Denmark,44,52,44
2013,EST,Estonia,3,24,3
2013,FIN,Finland,52,78,52
2013,FRA,France,220,554,220
2013,DEU,Germany,388,1152,388
2013,GRC,Greece,36,112,36
2013,HUN,Hungary,6,46,6
2013,IRL,Ireland,15,44,15
2013,ITA,Italy,260,395,260
2013,LVA,Latvia,7,5,7
2013,LTU,Lithuania,3,5,3
2013,LUX,Luxembourg,,3,
2013,MLT,Malta,,4,
2013,NLD,Netherlands,30,201,30
2013,POL,Poland,40,431,40
2013,PRT,Portugal,71,54,71
2013,ROU,Romania,45,82,45
2013,SVK,Slovakia,13,32,13
2013,SVN,Slovenia,10,21,10
2013,ESP,Spain,292,323,292
2013,SWE,Sweden,175,75,175
2013,GBR,United Kingdom,137,664,137
2014,AUT,Austria,105,26,105
2014,BEL,Belgium,32,86,32
2014,BGR,Bulgaria,17,84,17
2014,HRV,Croatia,20,9,20
2014,CYP,Cyprus,,8,
2014,CZE,Czech Republic,20,162,20
2014,DNK,Denmark,50,39,50
2014,EST,Estonia,3,22,3
2014,FIN,Finland,54,67,54
2014,FRA,France,212,519,212
2014,DEU,Germany,420,1096,420
2014,GRC,Greece,32,102,32
2014,HUN,Hungary,7,42,7
2014,IRL,Ireland,18,43,18
2014,ITA,Italy,279,357,279
2014,LVA,Latvia,5,5,5
2014,LTU,Lithuania,3,4,3
2014,LUX,Luxembourg,,3,
2014,MLT,Malta,,4,
2014,NLD,Netherlands,30,209,30
2014,POL,Poland,47,407,47
2014,PRT,Portugal,76,53,76
2014,ROU,Romania,62,82,62
2014,SVK,Slovakia,13,29,13
2014,SVN,Slovenia,13,18,13
2014,ESP,Spain,286,316,286
2014,SWE,Sweden,183,70,183
2014,GBR,United Kingdom,165,578,165
2015,AUT,Austria,101,31,101
2015,BEL,Belgium,37,83,37
2015,BGR,Bulgaria,20,87,20
2015,HRV,Croatia,16,10,16
2015,CYP,Cyprus,,8,
2015,CZE,Czech Republic,22,161,22
2015,DNK,Denmark,53,27,53
2015,EST,Estonia,4,18,4
2015,FIN,Finland,63,58,63
2015,FRA,France,213,539,213
2015,DEU,Germany,497,1088,497
2015,GRC,Greece,38,96,38
2015,HUN,Hungary,7,44,7
2015,IRL,Ireland,22,45,22
2015,ITA,Italy,256,387,256
2015,LVA,Latvia,5,6,5
2015,LTU,Lithuania,3,4,3
2015,LUX,Luxembourg,,2,
2015,MLT,Malta,,2,
2015,NLD,Netherlands,36,228,36
2015,POL,Poland,56,414,56
2015,PRT,Portugal,61,69,61
2015,ROU,Romania,61,86,61
2015,SVK,Slovakia,13,29,13
2015,SVN,Slovenia,8,19,8
2015,ESP,Spain,257,355,257
2015,SWE,Sweden,221,62,221
2015,GBR,United Kingdom,213,511,213
2016,AUT,Austria,108,30,108
2016,BEL,Belgium,37,96,37
2016,BGR,Bulgaria,17,78,17
2016,HRV,Croatia,17,11,17
2016,CYP,Cyprus,,9,
2016,CZE,Czech Republic,21,163,21
2016,DNK,Denmark,50,33,50
2016,EST,Estonia,4,21,4
2016,FIN,Finland,64,60,64
2016,FRA,France,228,527,228
2016,DEU,Germany,497,1087,497
2016,GRC,Greece,39,98,39
2016,HUN,Hungary,7,46,7
2016,IRL,Ireland,21,50,21
2016,ITA,Italy,256,394,256
2016,LVA,Latvia,7,6,7
2016,LTU,Lithuania,4,2,4
2016,MLT,Malta,,1,
2016,NLD,Netherlands,39,233,39
2016,POL,Poland,58,417,58
2016,PRT,Portugal,78,66,78
2016,ROU,Romania,62,80,62
2016,SVK,Slovakia,14,28,14
2016,SVN,Slovenia,10,21,10
2016,ESP,Spain,272,311,272
2016,SWE,Sweden,194,70,194
2016,GBR,United Kingdom,211,465,211
2017,AUT,Austria,110,35,110
2017,BEL,Belgium,41,96,41
2017,BGR,Bulgaria,15,82,15
2017,HRV,Croatia,15,10,15
2017,CYP,Cyprus,,9,
2017,CZE,Czech Republic,22,165,22
2017,DNK,Denmark,59,25,59
2017,EST,Estonia,4,22,4
2017,FIN,Finland,68,55,68
2017,FRA,France,219,541,219
2017,DEU,Germany,578,1028,578
2017,GRC,Greece,37,102,37
2017,HUN,Hungary,8,47,8
2017,IRL,Ireland,25,47,25
2017,ITA,Italy,250,412,250
2017,LVA,Latvia,11,4,11
2017,LTU,Lithuania,6,1,6
2017,LUX,Luxembourg,1,,1
2017,MLT,Malta,,3,
2017,NLD,Netherlands,48,227,48
2017,POL,Poland,63,423,63
2017,PRT,Portugal,58,85,58
2017,ROU,Romania,58,84,58
2017,SVK,Slovakia,14,29,14
2017,SVN,Slovenia,8,21,8
2017,ESP,Spain,239,357,239
2017,SWE,Sweden,208,72,208
2017,GBR,United Kingdom,255,425,255
2018,AUT,Austria,108,32,108
2018,BEL,Belgium,45,84,45
2018,BGR,Bulgaria,21,76,21
2018,HRV,Croatia,21,9,21
2018,CYP,Cyprus,,9,
2018,CZE,Czech Republic,22,166,22
2018,DNK,Denmark,56,26,56
2018,EST,Estonia,5,21,5
2018,FIN,Finland,70,59,70
2018,FRA,France,266,521,266
2018,DEU,Germany,605,977,605
2018,GRC,Greece,42,91,42
2018,HUN,Hungary,8,45,8
2018,IRL,Ireland,29,44,29
2018,ITA,Italy,269,374,269
2018,LVA,Latvia,7,6,7
2018,LTU,Lithuania,5,1,5
2018,LUX,Luxembourg,1,,1
2018,MLT,Malta,,4,
2018,NLD,Netherlands,52,215,52
2018,POL,Poland,56,426,56
2018,PRT,Portugal,72,70,72
2018,ROU,Romania,60,81,60
2018,SVK,Slovakia,12,30,12
2018,SVN,Slovenia,10,20,10
2018,ESP,Spain,271,318,271
2018,SWE,Sweden,199,75,199
2018,GBR,United Kingdom,286,392,286
2019,AUT,Austria,119,35,119
2019,BEL,Belgium,50,101,50
2019,BGR,Bulgaria,17,73,17
2019,HRV,Croatia,18,10,18
2019,CYP,Cyprus,,9,
2019,CZE,Czech Republic,22,160,22
2019,DNK,Denmark,62,19,62
2019,EST,Estonia,5,12,5
2019,FIN,Finland,68,53,68
2019,FRA,France,271,511,271
2019,DEU,Germany,657,819,657
2019,GRC,Greece,43,81,43
2019,HUN,Hungary,11,46,11
2019,IRL,Ireland,32,40,32
2019,ITA,Italy,279,366,279
2019,LVA,Latvia,6,7,6
2019,LTU,Lithuania,6,1,6
2019,LUX,Luxembourg,1,,1
2019,MLT,Malta,,4,
2019,NLD,Netherlands,62,212,62
2019,POL,Poland,65,395,65
2019,PRT,Portugal,70,54,70
2019,ROU,Romania,58,72,58
2019,SVK,Slovakia,15,29,15
2019,SVN,Slovenia,10,20,10
2019,ESP,Spain,270,296,270
2019,SWE,Sweden,219,74,219
2019,GBR,United Kingdom,312,354,312
2020,AUT,Austria,118,30,118
2020,BEL,Belgium,62,93,62
2020,BGR,Bulgaria,18,62,18
2020,HRV,Croatia,18,10,18
2020,CYP,Cyprus,1,8,1
2020,CZE,Czech Republic,22,144,22
2020,DNK,Denmark,63,17,63
2020,EST,Estonia,5,8,5
2020,FIN,Finland,75,48,75
2020,FRA,France,299,460,299
2020,DEU,Germany,695,695,695
2020,GRC,Greece,48,69,48
2020,HUN,Hungary,12,45,12
2020,IRL,Ireland,37,38,37
2020,ITA,Italy,283,328,283
2020,LVA,Latvia,7,4,7
2020,LTU,Lithuania,6,3,6
2020,LUX,Luxembourg,1,,1
2020,MLT,Malta,,4,
2020,NLD,Netherlands,86,191,86
2020,POL,Poland,71,371,71
2020,PRT,Portugal,75,46,75
2020,ROU,Romania,58,61,58
2020,SVK,Slovakia,15,29,15
2020,SVN,Slovenia,11,20,11
2020,ESP,Spain,305,246,305
2020,SWE,Sweden,252,57,252
2020,GBR,United Kingdom,346,306,346